can't	k> a n t>
bitšwago	B i tS> w a G O
bitšwe	B i tS> w E
bja	BZ a
bjago	BZ a G O
bjaka	BZ a k> a
bjako	BZ a k> O
bjala	BZ a l a
bjalago	BZ a l a G O
bjale	BZ a l E
bjalela	BZ a l E l a
bjaleng	BZ a l E N
bjalobjalo	BZ a l O BZ a l O
bjalo	BZ a l O
bjalwa	BZ a l w a
bjalwago	BZ a l w a G O
bjalwe	BZ a l w E
bjalwego	BZ a l w E G O
bjana	BZ a n a
bjaneng	BZ a n E N
bjang	BZ a N
bjanyeng	BZ a J E N
bjaša	BZ a S a
bjetše	BZ E tS> E
bjetšego	BZ E tS> E G O
bjetšwe	BZ E tS> w E
bjetšwego	BZ E tS> w E G O
bjo	BZ O
bjohle	BZ O K E
bjokhwi	BZ O kh w i
bjoko	BZ O k> O
bjokong	BZ O k> O N
bjola	BZ O l a
bjona	BZ O n a
bjoo	BZ O O
boabi	B O a B i
boaboa	B O a B O a
boagi	B O a G i
boagišani	B O a G i S a n i
boago	B O a G O
boahlodi	B O a K O l` i
boalo	B O a l O
boalodi	B O a l O l` i
boamogelo	B O a m O G E l O
boati	B O a t> i
bobadi	B O B a l` i
bobebe	B O B E B E
bobe	B O B E
bobedi	B O B E l` i
bobeding	B O B E l` i N
bobetli	B O B E tl> i
bobididi	B O B i l` i l` i
bobjana	B O BZ a n a
bobjang	B O BZ a N
bobjona	B O BZ O n a
bobodu	B O B O l` u
bobogedi	B O B O G E l` i
bobola	B O B O l a
bobolokelo	B O B O l O k> E l O
bobona	B O B O n a
bobose	B O B O s E
bobotlana	B O B O tl> a n a
bobotse	B O B O ts> E
bobui	B O B u i
bodiba	B O l` i B a
bodibeng	B O l` i B E N
bodiidi	B O l` i i l` i
bodiiding	B O l` i i l` i N
bodika	B O l` i k> a
bodikana	B O l` i k> a n a
bodikela	B O l` i k> E l a
bodila	B O l` i l a
bodile	B O l` i l E
bodilego	B O l` i l E G O
bodiredi	B O l` i r E l` i
bodiša	B O l` i S a
boditše	B O l` i tS> E
boditšego	B O l` i tS> E G O
boditšhaba	B O l` i tSh a B a
boditšhabatšhaba	B O l` i tSh a B a tSh a B a
boditšhabatšhabeng	B O l` i tSh a B a tSh a B E N
boditšwe	B O l` i tS> w E
boditšwego	B O l` i tS> w E G O
bodudi	B O l` u l` i
bodulasetulo	B O l` u l a s E t> u l O
bodulelo	B O l` u l E l O
bodulo	B O l` u l O
bodulong	B O l` u l O N
bodumedi	B O l` u m E l` i
bodutu	B O l` u t> u
bodutwana	B O l` u t> w a n a
boe	B O E
boela	B O E l a
boelago	B O E l a G O
boelana	B O E l a n a
boelang	B O E l a N
boelanya	B O E l a J a
boele	B O E l E
boeleditše	B O E l E l` i tS> E
boeleditšwe	B O E l E l` i tS> w E
boeleditšwego	B O E l E l` i tS> w E G O
boelela	B O E l E l a
boelelo	B O E l E l O
boeleng	B O E l E N
boeletša	B O E l E tS> a
boeletše	B O E l E tS> E
boeletši	B O E l E tS> i
boeletšwa	B O E l E tS> w a
boeletšwago	B O E l E tS> w a G O
boeletšwe	B O E l E tS> w E
boelwa	B O E l w a
boelwe	B O E l w E
boemafofane	B O E m a f O f a n E
boemafofaneng	B O E m a f O f a n E N
boemakepe	B O E m a k> E p> E
boemapese	B O E m a p> E s E
boemasetimela	B O E m a s E t> i m E l a
boemedi	B O E m E l` i
boemeding	B O E m E l` i N
boemo	B O E m O
boemong	B O E m O N
boemotia	B O E m O t> i a
boeng	B O E N
boentšenere	B O E n tS> E n E r E
boepi	B O E p> i
boetapele	B O E t> a p> E l E
boetapeleng	B O E t> a p> E l E N
boeti	B O E t> i
boetša	B O E tS> a
boetše	B O E tS> E
boetšwa	B O E tS> w a
bofa	B O f a
bofago	B O f a G O
bofahloši	B O f a K O S i
bofaladi	B O f a l a l` i
bofe	B O f E
bofefo	B O f E f O
bofejane	B O f E d0Z a n E
bofelela	B O f E l E l a
bofelele	B O f E l E l E
bofelelo	B O f E l E l O
bofeletšwe	B O f E l E tS> w E
bofelo	B O f E l O
bofelong	B O f E l O N
bofile	B O f i l E
bofilwe	B O f i l w E
bofilwego	B O f i l w E G O
bofiwa	B O f i w a
bofofu	B O f O f u
bofokodi	B O f O k> O l` i
bofolla	B O f O l l a
bofologa	B O f O l O G a
bofologilego	B O f O l O G i l E G O
bofora	B O f O r a
bofsa	B O p\s a
bofšega	B O p\S E G a
bofseng	B O p\s E N
boga	B O G a
bogadi	B O G a l` i
bogale	B O G a l E
bogaleng	B O G a l E N
bogamelo	B O G a m E l O
boganetši	B O G a n E tS> i
boganka	B O G a n k> a
bogare	B O G a r E
bogareng	B O G a r E N
bogaši	B O G a S i
bogaswi	B O G a s w i
bogato	B O G a t> O
bogega	B O G E G a
bogege	B O G E G E
bogela	B O G E l a
bogelago	B O G E l a G O
bogelwa	B O G E l w a
bogetše	B O G E tS> E
bogetšwe	B O G E tS> w E
bogobe	B O G O B E
bogodimo	B O G O l` i m O
bogole	B O G O l E
bogolo	B O G O l O
bogologolo	B O G O l O G O l O
bogologolong	B O G O l O G O l O N
bogolong	B O G O l O N
bogomapono	B O G O m a p> O n O
bogomo	B O G O m O
bogorogelo	B O G O r O G E l O
bogoši	B O G O S i
bogošing	B O G O S i N
bogwa	B O G w a
bogwahla	B O G w a K a
bogwebi	B O G w E B i
bogwe	B O G w E
bogweng	B O G w E N
bogwera	B O G w E r a
bohakamegoma	B O h\ a k> a m E G O m a
bohlabela	B O K a B E l a
bohlabelagare	B O K a B E l a G a r E
bohlabelo	B O K a B E l O
bohlahli	B O K a K i
bohlaki	B O K a k> i
bohlakišing	B O K a k> i S i N
bohlakodi	B O K a k> O l` i
bohlale	B O K a l E
bohlami	B O K a m i
bohlankedi	B O K a n k> E l` i
bohlano	B O K a n O
bohlapelo	B O K a p> E l O
bohlapelong	B O K a p> E l O N
bohlaswa	B O K a s w a
bohlatholli	B O K a th O l l i
bohlatse	B O K a ts> E
bohle	B O K E
bohlodi	B O K O l` i
bohlogelo	B O K O G E l O
bohloki	B O K O k> i
bohloko	B O K O k> O
bohlokomedi	B O K O k> O m E l` i
bohlokong	B O K O k> O N
bohlokwa	B O K O k> w a
bohlokwahlokwa	B O K O k> w a K O k> w a
bohlola	B O K O l a
bohlweki	B O K w E k> i
bohlwekišetšo	B O K w E k> i S E tS> O
bohodu	B O h\ O l` u
bohodung	B O h\ O l` u N
bohubedu	B O h\ u B E l` u
bohumi	B O h\ u m i
bohunamatolo	B O h\ u n a m a t> O l O
bohwa	B O h\ w a
bohwibidu	B O h\ w i B i l` u
bohwirihwiri	B O h\ w i r i h\ w i r i
boi	B O i
boifa	B O i f a
boifago	B O i f a G O
boife	B O i f E
boifiša	B O i f i S a
boikalo	B O i k> a l O
boikano	B O i k> a n O
boikarabelo	B O i k> a r a B E l O
boikarabelong	B O i k> a r a B E l O N
boikemelamolaong	B O i k> E m E l a m O l a O N
boikemelanoši	B O i k> E m E l a n O S i
boikemelo	B O i k> E m E l O
boikemišetšo	B O i k> E m i S E tS> O
boikemo	B O i k> E m O
boiketlo	B O i k> E tl> O
boikgafelo	B O i kx a f E l O
boikgafo	B O i kx a f O
boikgantšho	B O i kx a n tSh O
boikgethelo	B O i kx E th E l O
boikgogomošo	B O i kx O G O m O S O
boikgopolelo	B O i kx O p> O l E l O
boikhutšo	B O i kh u tS> O
boikhutšong	B O i kh u tS> O N
boikokobetšo	B O i k> O k> O B E tS> O
boile	B O i l E
boilego	B O i l E G O
boima	B O i m a
boimana	B O i m a n a
boimanyana	B O i m a J a n a
boinaganelo	B O i n a G a n E l O
boineelo	B O i n E E l O
boingwadišo	B O i N w a l` i S O
boinyatšo	B O i J a tS> O
boipelaetšo	B O i p> E l a E tS> O
boipeletšo	B O i p> E l E tS> O
boiphedišo	B O i ph E l` i S O
boiphemelo	B O i ph E m E l O
boiphetolelo	B O i ph E t> O l E l O
boipiletšo	B O i p> i l E tS> O
boipiletšong	B O i p> i l E tS> O N
boipoeletšo	B O i p> O E l E tS> O
boipolelo	B O i p> O l E l O
boipshino	B O i psh i n O
boipušo	B O i p> u S O
boitaolo	B O i t> a O l O
boitapišo	B O i t> a p> i S O
boitapološo	B O i t> a p> O l O S O
boitefeletšo	B O i t> E f E l E tS> O
boitekanelo	B O i t> E k> a n E l O
boitekelo	B O i t> E k> E l O
boitekelong	B O i t> E k> E l O N
boitemogelo	B O i t> E m O G E l O
boitemogelokakanywa	B O i t> E m O G E l O k> a k> a J w a
boithabišo	B O i th a B i S O
boithabišong	B O i th a B i S O N
boithaopo	B O i th a O p> O
boithatelo	B O i th a t> E l O
boithaupo	B O i th a u p> O
boithekgo	B O i th E kx O
boithomedi	B O i th O m E l` i
boithomelo	B O i th O m E l O
boithutedi	B O i th u t> E l` i
boithutelo	B O i th u t> E l O
boithuti	B O i th u t> i
boitišo	B O i t> i S O
boitlamo	B O i tl> a m O
boitlhagišetšo	B O i tlh a G i S E tS> O
boitlhagišo	B O i tlh a G i S O
boitlhamelo	B O i tlh a m E l O
boitlhompho	B O i tlh O m ph O
boitokišetšo	B O i t> O k> i S E tS> O
boitokišo	B O i t> O k> i S O
boitsebelo	B O i ts> E B E l O
boitsebišo	B O i ts> E B i S O
boitsebo	B O i ts> E B O
boitshepo	B O i tsh E p> O
boitšhidullo	B O i tSh i l` u l l O
boitšhireletšo	B O i tSh i r E l E tS> O
boitsholo	B O i tsh O l O
boitšhupo	B O i tSh u p> O
boitshwaro	B O i tsh w a r O
boitumelo	B O i t> u m E l O
bojagobe	B O d0Z a G O B E
bojalefa	B O d0Z a l E f a
bojato	B O d0Z a t> O
bojelo	B O d0Z E l O
bokaaka	B O k> a a k> a
bokaakang	B O k> a a k> a N
bokaalo	B O k> a a l O
boka	B O k> a
bokadikadi	B O k> a l` i k> a l` i
bokae	B O k> a E
bokagare	B O k> a G a r E
bokagodimo	B O k> a G O l` i m O
bokagodimong	B O k> a G O l` i m O N
bokaletše	B O k> a l E tS> E
bokamoka	B O k> a m O k> a
bokamorago	B O k> a m O r a G O
bokamoso	B O k> a m O s O
bokamosong	B O k> a m O s O N
bokantle	B O k> a n tl> E
bokaone	B O k> a O n E
bokaonekaone	B O k> a O n E k> a O n E
bokapele	B O k> a p> E l E
bokapitale	B O k> a p> i t> a l E
bokebekwa	B O k> E B E k> w a
bokgabo	B O kx a B O
bokgale	B O kx a l E
bokgarebe	B O kx a r E B E
bokgathatema	B O kx a th a t> E m a
bokgauswi	B O kx a u s w i
bokgoba	B O kx O B a
bokgobadingwalo	B O kx O B a l` i N w a l O
bokgobapuku	B O kx O B a p> u k> u
bokgobapukung	B O kx O B a p> u k> u N
bokgobeng	B O kx O B E N
bokgole	B O kx O l E
bokgolwa	B O kx O l w a
bokgomana	B O kx O m a n a
bokgoni	B O kx O n i
bokgoninyana	B O kx O n i J a n a
bokgonthe	B O kx O n th E
bokgontšhi	B O kx O n tSh i
bokgope	B O kx O p> E
bokgopo	B O kx O p> O
bokgwari	B O kx w a r i
bokhuto	B O kh u t> O
bokobo	B O k> O B O
bokoko	B O k> O k> O
bokoloniale	B O k> O l O n i a l E
bokoloni	B O k> O l O n i
bokomosasa	B O k> O m O s a s a
bokopana	B O k> O p> a n a
bokopanelo	B O k> O p> a n E l O
bokoto	B O k> O t> O
bokubu	B O k> u B u
bola	B O l a
boladu	B O l a l` u
bolaela	B O l a E l a
bolaelwa	B O l a E l w a
bolago	B O l a G O
bolaile	B O l a i l E
bolailego	B O l a i l E G O
bolailwe	B O l a i l w E
bolailwego	B O l a i l w E G O
bolaiša	B O l a i S a
bolamodi	B O l a m O l` i
bolao	B O l a O
bolaodi	B O l a O l` i
bolaoding	B O l a O l` i N
bolaodiphethiši	B O l a O l` i ph E th i S i
bolaong	B O l a O N
bolawa	B O l a w a
bolawago	B O l a w a G O
bolawe	B O l a w E
bolaya	B O l a j a
bolayago	B O l a j a G O
bolayana	B O l a j a n a
bolaye	B O l a j E
bolediša	B O l E l` i S a
boledišana	B O l E l` i S a n a
boledišanago	B O l E l` i S a n a G O
boledišanang	B O l E l` i S a n a N
boledišane	B O l E l` i S a n E
boledišanego	B O l E l` i S a n E G O
boledišanwa	B O l E l` i S a n w a
boledišanwago	B O l E l` i S a n w a G O
bolediše	B O l E l` i S E
boledišwa	B O l E l` i S w a
bolefase	B O l E f a s E
bolekana	B O l E k> a n a
bolekane	B O l E k> a n E
boleke	B O l E k> E
bolela	B O l E l a
bolelago	B O l E l a G O
bolelang	B O l E l a N
bolele	B O l E l E
bolelego	B O l E l E G O
bolelela	B O l E l E l a
bolelelago	B O l E l E l a G O
bolelele	B O l E l E l E
bolelelwa	B O l E l E l w a
boleleng	B O l E l E N
boleloko	B O l E l O k> O
bolelwa	B O l E l w a
bolelwago	B O l E l w a G O
bolelwe	B O l E l w E
bolelwego	B O l E l w E G O
bolemi	B O l E m i
boleming	B O l E m i N
bolena	B O l E n a
boleng	B O l E N
bolepu	B O l E p> u
bolesome	B O l E s O m E
bolesomehlano	B O l E s O m E K a n O
bolesomenne	B O l E s O m E n n E
bolesomesenyane	B O l E s O m E s E J a n E
bolesomeseswai	B O l E s O m E s E s w a i
bolesometharo	B O l E s O m E th a r O
bolesometshela	B O l E s O m E tsh E l a
boleta	B O l E t> a
boletiana	B O l E t> i a n a
boletša	B O l E tS> a
boletše	B O l E tS> E
boletšego	B O l E tS> E G O
boletšwe	B O l E tS> w E
boletšwego	B O l E tS> w E G O
bolla	B O l l a
bollago	B O l l a G O
bolle	B O l l E
bolo	B O l O
boloi	B O l O i
boloka	B O l O k> a
bolokago	B O l O k> a G O
boloke	B O l O k> E
bolokega	B O l O k> E G a
bolokegago	B O l O k> E G a G O
bolokege	B O l O k> E G E
bolokegile	B O l O k> E G i l E
bolokegilego	B O l O k> E G i l E G O
bolokego	B O l O k> E G O
bolokela	B O l O k> E l a
bolokelago	B O l O k> E l a G O
bolokelwe	B O l O k> E l w E
bolokile	B O l O k> i l E
bolokilego	B O l O k> i l E G O
bolokilwe	B O l O k> i l w E
bolokilwego	B O l O k> i l w E G O
boloko	B O l O k> O
bolokologi	B O l O k> O l O G i
bolokwa	B O l O k> w a
bolokwago	B O l O k> w a G O
bolokwe	B O l O k> w E
bololla	B O l O l l a
bolona	B O l O n a
bolotadingwalwa	B O l O t> a l` i N w a l w a
bolotša	B O l O tS> a
bolotšego	B O l O tS> E G O
bolotšwe	B O l O tS> w E
bolwetši	B O l w E tS> i
bolwetšing	B O l w E tS> i N
bomadimabe	B O m a l` i m a B E
bomagistrata	B O m a G i s t> r a t> a
bomakgetle	B O m a kx E tl> E
bomakgolo	B O m a kx O l O
bomalementši	B O m a l E m E n tS> i
bomang	B O m a N
bomantsho	B O m a n tsh O
bomapimpana	B O m a p> i m p> a n a
bomasepala	B O m a s E p> a l a
bomasomehlano	B O m a s O m E K a n O
bomasomepedi	B O m a s O m E p> E l` i
bomasomeseswai	B O m a s O m E s E s w a i
bomasomešupa	B O m a s O m E S u p> a
bomasometshela	B O m a s O m E tsh E l a
bomatheetšabohle	B O m a th E E tS> a B O K E
bomatome	B O m a t> O m E
bomedišetšo	B O m E l` i S E tS> O
bomenemene	B O m E n E m E n E
bomenetša	B O m E n E tS> a
bomma	B O m m a
bommaditsela	B O m m a l` i ts> E l a
bommagobana	B O m m a G O B a n a
bommago	B O m m a G O
bommagobona	B O m m a G O B O n a
bommagwe	B O m m a G w E
bommakgonthe	B O m m a kx O n th E
bommasepala	B O m m a s E p> a l a
bommatšo	B O m m a tS> O
bomme	B O m m E
bomolao	B O m O l a O
bomolomo	B O m O l O m O
bomorago	B O m O r a G O
bomotho	B O m O th O
bomotšhene	B O m O tSh E n E
bompheane	B O m ph E a n E
bonaba	B O n a B a
bona	B O n a
bonagala	B O n a G a l a
bonagalago	B O n a G a l a G O
bonagale	B O n a G a l E
bonagalego	B O n a G a l E G O
bonagatša	B O n a G a tS> a
bonagatšago	B O n a G a tS> a G O
bonagatše	B O n a G a tS> E
bonagatšwa	B O n a G a tS> w a
bonagatšwe	B O n a G a tS> w E
bonagetše	B O n a G E tS> E
bonagetšego	B O n a G E tS> E G O
bonago	B O n a G O
bonako	B O n a k> O
bonala	B O n a l a
bonalago	B O n a l a G O
bonale	B O n a l E
bonalego	B O n a l E G O
bonama	B O n a m a
bonamodi	B O n a m O l` i
bonana	B O n a n a
bonane	B O n a n E
bonang	B O n a N
bonatla	B O n a tl> a
bonega	B O n E G a
bonegela	B O n E G E l a
bonegetše	B O n E G E tS> E
bonego	B O n E G O
bonela	B O n E l a
bonelago	B O n E l a G O
bonelwa	B O n E l w a
boneng	B O n E N
bonetšwe	B O n E tS> w E
bongaka	B O N a k> a
bong	B O N
bongwadi	B O N w a l` i
bongwading	B O N w a l` i N
bongwadišo	B O N w a l` i S O
bongwaledi	B O N w a l E l` i
bongwana	B O N w a n a
bongwe	B O N w E
bongwetši	B O N w E tS> i
bonkgetheng	B O n kx E th E N
bonkgwete	B O n kx w E t> E
bonna	B O n n a
bonneng	B O n n E N
bonnete	B O n n E t> E
bonnyane	B O n J a n E
bonnyaneng	B O n J a n E N
bonokwane	B O n O k> w a n E
bonolo	B O n O l O
bonong	B O n O N
bonoši	B O n O S i
bontšha	B O n tSh a
bontšhago	B O n tSh a G O
bontšhana	B O n tSh a n a
bontšhang	B O n tSh a N
bontšhe	B O n tSh E
bontšhego	B O n tSh E G O
bontšhitše	B O n tSh i tS> E
bontšhitšego	B O n tSh i tS> E G O
bontšhitšwe	B O n tSh i tS> w E
bontšhitšwego	B O n tSh i tS> w E G O
bontšhwa	B O n tSh w a
bontšhwago	B O n tSh w a G O
bontšhwe	B O n tSh w E
bontši	B O n tS> i
bontšing	B O n tS> i N
bontwadumela	B O n t> w a l` u m E l a
bonwa	B O n w a
bonwago	B O n w a G O
bonwe	B O n w E
bonwego	B O n w E G O
bonwelo	B O n w E l O
bonya	B O J a
bonyane	B O J a n E
bonyelele	B O J E l E l E
bookamedi	B O O k> a m E l` i
bookelo	B O O k> E l O
bookelong	B O O k> E l O N
booki	B O O k> i
boomo	B O O m O
boona	B O O n a
bootledi	B O O tl> E l` i
bootswa	B O O ts> w a
bopa	B O p> a
bopago	B O p> a G O
bopaki	B O p> a k> i
bopapa	B O p> a p> a
bopega	B O p> E G a
bopege	B O p> E G E
bopegile	B O p> E G i l E
bopegilego	B O p> E G i l E G O
bopego	B O p> E G O
bopeng	B O p> E N
bopetše	B O p> E tS> E
bophagamo	B O ph a G a m O
bophara	B O ph a r a
bophelo	B O ph E l O
bophelong	B O ph E l O N
bophiri	B O ph i r i
bophirima	B O ph i r i m a
bophodisa	B O ph O l` i s a
bophodiseng	B O ph O l` i s E N
bopile	B O p> i l E
bopilego	B O p> i l E G O
bopiletšo	B O p> i l E tS> O
bopilwe	B O p> i l w E
bopilwego	B O p> i l w E G O
bopiwa	B O p> i w a
bopresidente	B O p> r E s i l` E n t> E
boprofešenale	B O p> r O f E S E n a l E
bopša	B O pS> a
bopšago	B O pS> a G O
bopududu	B O p> u l` u l` u
borabele	B O r a B E l E
bora	B O r a
boradia	B O r a l` i a
boradiatletiki	B O r a l` i a tl> E t> i k> i
boradifatanaga	B O r a l` i f a t> a n a G a
boradikoloi	B O r a l` i k> O l O i
boradikuranta	B O r a l` i k> u r a n t> a
boradipapadi	B O r a l` i p> a p> a l` i
boradipolitiki	B O r a l` i p> O l i t> i k> i
boraditaba	B O r a l` i t> a B a
borakgadi	B O r a kx a l` i
borakgolwagwe	B O r a kx O l w a G w E
borakgwebo	B O r a kx w E B O
borakgwebopotlana	B O r a kx w E B O p> O tl> a n a
borakontraka	B O r a k> O n t> r a k> a
boramabelo	B O r a m a B E l O
boramabenkele	B O r a m a B E n k> E l E
boramahlale	B O r a m a K a l E
boramatlotlo	B O r a m a tl> O tl> O
borameepo	B O r a m E E p> O
boramekutwana	B O r a m E k> u t> w a n a
boramelao	B O r a m E l a O
borammino	B O r a m m i n O
boramolao	B O r a m O l a O
borangwane	B O r a N w a n E
borapolase	B O r a p> O l a s E
boraro	B O r a r O
boratwakepelo	B O r a t> w a k> E p> E l O
boreatseba	B O r E a ts> E B a
borekišetšo	B O r E k> i S E tS> O
boreledi	B O r E l E l` i
boreletšana	B O r E l E tS> a n a
borena	B O r E n a
borilwego	B O r i l w E G O
boripana	B O r i p> a n a
borobalelo	B O r O B a l E l O
boro	B O r O
borokgo	B O r O kx O
boroko	B O r O k> O
borokong	B O r O k> O N
boromiwa	B O r O m i w a
borotho	B O r O th O
boroto	B O r O t> O
borui	B O r u i
borukhuhli	B O r u kh u K i
borulaganyi	B O r u l a G a J i
borutegi	B O r u t> E G i
borutelo	B O r u t> E l O
borutho	B O r u th O
boruthwana	B O r u th w a n a
boruti	B O r u t> i
borutiši	B O r u t> i S i
borutwatiro	B O r u t> w a t> i r O
borwabohlabela	B O r w a B O K a B E l a
borwa	B O r w a
bosa	B O s a
bosadi	B O s a l` i
bosading	B O s a l` i N
bošaedi	B O S a E l` i
bosana	B O s a n a
bosasa	B O s a s a
bose	B O s E
bošego	B O S E G O
bošegogare	B O S E G O G a r E
bošegong	B O S E G O N
bosehla	B O s E K a
bosehlana	B O s E K a n a
bosehlanyana	B O s E K a J a n a
bosele	B O s E l E
boselela	B O s E l E l a
bosenyane	B O s E J a n E
bosenyi	B O s E J i
bosenying	B O s E J i N
boseswai	B O s E s w a i
bosetšene	B O s E tS> E n E
bosetšhaba	B O s E tSh a B a
bosetšhabatšhaba	B O s E tSh a B a tSh a B a
bošidi	B O S i l` i
bošilo	B O S i l O
bošilwana	B O S i l w a n a
bošiwana	B O S i w a n a
bosobela	B O s O B E l a
bosobelatšatši	B O s O B E l a tS> a tS> i
boso	B O s O
bosodi	B O s O l` i
bosogana	B O s O G a n a
bosole	B O s O l E
bošole	B O S O l E
bošoleng	B O S O l E N
bošomelo	B O S O m E l O
bošomi	B O S O m i
bosona	B O s O n a
bosong	B O s O N
bosootho	B O s O O th O
bošoro	B O S O r O
bošuana	B O S u a n a
bošula	B O S u l a
bošupa	B O S u p> a
boswa	B O s w a
bošweu	B O S w E u
bota	B O t> a
botagwa	B O t> a G w a
botaki	B O t> a k> i
botala	B O t> a l a
botalalerata	B O t> a l a l E r a t> a
botalamorogo	B O t> a l a m O r O G O
botana	B O t> a n a
botatagobona	B O t> a t> a G O B O n a
botatago	B O t> a t> a G O
botatagwe	B O t> a t> a G w E
botau	B O t> a u
botebo	B O t> E B O
botebong	B O t> E B O N
botee	B O t> E E
botega	B O t> E G a
botegago	B O t> E G a G O
botege	B O t> E G E
botegela	B O t> E G E l a
botegelana	B O t> E G E l a n a
botelele	B O t> E l E l E
boteleleng	B O t> E l E l E N
boteng	B O t> E N
bothakga	B O th a kx a
bothata	B O th a t> a
bothatana	B O th a t> a n a
bothateng	B O th a t> E N
botheeletši	B O th E E l E tS> i
bothela	B O th E l a
botho	B O th O
bothunya	B O th u J a
botile	B O t> i l E
botilego	B O t> i l E G O
botlaela	B O tl> a E l a
botlalo	B O tl> a l O
botlase	B O tl> a s E
botlaseng	B O tl> a s E N
botlatla	B O tl> a tl> a
botlotla	B O tl> O tl> a
boto	B O t> O
botoloki	B O t> O l O k> i
botona	B O t> O n a
botonakgolo	B O t> O n a kx O l O
botoro	B O t> O r O
botša	B O tS> a
botšago	B O tS> a G O
botsana	B O ts> a n a
botšana	B O tS> a n a
botšeakarolo	B O tS> E a k> a r O l O
botsebi	B O ts> E B i
botsebišo	B O ts> E B i S O
botsebitsebi	B O ts> E B i ts> E B i
botse	B O ts> E
botše	B O tS> E
botsebotse	B O ts> E B O ts> E
botsefatša	B O ts> E f a tS> a
botseka	B O ts> E k> a
botseno	B O ts> E n O
botsenong	B O ts> E n O N
botseta	B O ts> E t> a
botšhabelo	B O tSh a B E l O
botshadi	B O tsh a l` i
botshelela	B O tsh E l E l a
botshepegi	B O tsh E p> E G i
botshephegi	B O tsh E ph E G i
botšhošetši	B O tSh O S E tS> i
botšhotšhisi	B O tSh O tSh i s i
botshwelamare	B O tsh w E l a m a r E
botšhwene	B O tSh w E n E
botšididi	B O tS> i l` i l` i
botšiša	B O tS> i S a
botšišago	B O tS> i S a G O
botšišana	B O tS> i S a n a
botšiše	B O tS> i S E
botšišiša	B O tS> i S i S a
botšišišwa	B O tS> i S i S w a
botšišitše	B O tS> i S i tS> E
botšišitšego	B O tS> i S i tS> E G O
botšišitšwe	B O tS> i S i tS> w E
botšišitšwego	B O tS> i S i tS> w E G O
botšišollwa	B O tS> i S O l l w a
botšišwa	B O tS> i S w a
botšišwago	B O tS> i S w a G O
botšofadi	B O tS> O f a l` i
botšofading	B O tS> O f a l` i N
botšološiša	B O tS> O l O S i S a
botšona	B O tS> O n a
botsothwa	B O ts> O th w a
botšwa	B O tS> w a
botswadi	B O ts> w a l` i
botšwago	B O tS> w a G O
botšwe	B O tS> w E
botšweletši	B O tS> w E l E tS> i
botswerere	B O ts> w E r E r E
