'em	@ m
adversaries	{ d v @ s @ r\ i z
adversary	{ d v @ s @ r\ i
adverse	{ d v 3: s
adversely	{ d v 3: s l i
adversities	@ d v 3: s i t i z
adversity	@ d v 3: s i t i
advert	{ d v 3: t
adverted	@ d v 3: t @ d
adverting	@ d v 3: t i N
advertise	{ d v @ t ai z
advertised	{ d v @ t ai z d
advertisement	@ d v 3: t @ s m @ n t
advertisements	@ d v 3: t @ s m @ n t s
advertiser	{ d v @ t ai z @ r\
advertisers	{ d v @ t ai z @ z
advertises	{ d v @ t ai z @ z
advertising	{ d v @ t ai z i N
adverts	{ d v 3: t s
advice	@ d v ai s
advices	@ d v ai s @ s
advisability	@ d v ai z @ b i l i t i
advisable	@ d v ai z @ b @ l
advise	@ d v ai z
advised	@ d v ai z d
advisedly	@ d v ai z @ d l i
adviser	@ d v ai z @ r\
advisers	@ d v ai z @ z
advises	@ d v ai z @ z
advising	@ d v ai z i N
advisory	@ d v ai z @ r\ i
advocacy	{ d v @ k @ s i
advocate	{ d v @ k @ t
advocated	{ d v @ k @i t @ d
advocates	{ d v @ k @ t s
advocating	{ d v @ k @i t i N
advowson	{ d v au z @ n
advowsons	{ d v au z @ n z
adz	{ d z
adze	{ d z
adzes	{ d z @ z
aegis	i: d0Z @ s
aegises	i: d0Z @ s @ s
aeon	i: @ n
aeons	i: @ n z
aerate	e@ r\ @i t
aerated	e@ r\ @i t @ d
aerates	e@ r\ @i t s
aerating	e@ r\ @i t i N
aeration	e@ r\ @i S @ n
aerations	e@ r\ @i S @ n z
aerial	e@ r\ i@ l
aerials	e@ r\ i@ l z
aerie	e@ r\ i
aeries	e@ r\ i z
aerobatics	e@ r\ @ b { t i k s
aerobic	@i r\ @u b i k
aerobics	@i r\ @u b i k s
aerodrome	e@ r\ @ d r\ @u m
aerodromes	e@ r\ @ d r\ @u m z
aerodynamic	e@ r\ @u d ai n { m i k
aerodynamics	e@ r\ @u d ai n { m i k s
aeronaut	e@ r\ @ n O: t
aeronautics	e@ r\ @ n O: t i k s
aeronauts	e@ r\ @ n O: t s
aeroplane	e@ r\ @ p l @i n
aeroplanes	e@ r\ @ p l @i n z
aerosol	e@ r\ @ s Q l
aerosols	e@ r\ @ s Q l z
aerospace	e@ r\ @u s p @i s
aertex	e@ t E k s
aery	e@ r\ i
aesthete	i: s T i: t
aesthetes	i: s T i: t s
aesthetic	i: s T E t i k
aesthetical	i: s T E t i k @ l
aesthetically	i: s T E t i k l i
aesthetics	i: s T E t i k s
aether	i: T @ r\
aetiologies	i: t i Q l @ d0Z i z
aetiology	i: t i Q l @ d0Z i
afar	@ f A: r\
affability	{ f @ b i l i t i
affable	{ f @ b @ l
affably	{ f @ b l i
affair	@ f e@ r\
affairs	@ f e@ z
affect	@ f E k t
affectation	{ f E k t @i S @ n
affectations	{ f E k t @i S @ n z
affected	@ f E k t @ d
affecting	@ f E k t i N
affectingly	@ f E k t i N l i
affection	@ f E k S @ n
affectionate	@ f E k S @ n @ t
affectionately	@ f E k S @ n @ t l i
affections	@ f E k S @ n z
affects	@ f E k t s
affiance	@ f ai @ n s
affianced	@ f ai @ n s t
affiances	@ f ai @ n s @ s
affiancing	@ f ai @ n s i N
affidavit	{ f @ d @i v @ t
affidavits	{ f @ d @i v @ t s
affiliate	@ f i l i @i t
affiliated	@ f i l i @i t @ d
affiliates	@ f i l i @i t s
affiliating	@ f i l i @i t i N
affiliation	@ f i l i @i S @ n
affiliations	@ f i l i @i S @ n z
affinities	@ f i n i t i z
affinity	@ f i n i t i
affirm	@ f 3: m
affirmation	{ f @ m @i S @ n
affirmations	{ f @ m @i S @ n z
affirmative	@ f 3: m @ t @ v
affirmatives	@ f 3: m @ t @ v z
affirmed	@ f 3: m d
affirming	@ f 3: m i N
affirms	@ f 3: m z
affix	{ f i k s
affixed	@ f i k s t
affixes	{ f i k s @ s
affixing	@ f i k s i N
afflatus	@ f l @i t @ s
afflict	@ f l i k t
afflicted	@ f l i k t @ d
afflicting	@ f l i k t i N
affliction	@ f l i k S @ n
afflictions	@ f l i k S @ n z
afflicts	@ f l i k t s
affluence	{ f l u@ n s
affluent	{ f l u@ n t
affluents	{ f l u@ n t s
afford	@ f O: d
afforded	@ f O: d @ d
affording	@ f O: d i N
affords	@ f O: d z
afforest	@ f Q r\ @ s t
afforestation	@ f Q r\ i s t @i S @ n
afforestations	@ f Q r\ i s t @i S @ n z
afforested	@ f Q r\ @ s t @ d
afforesting	@ f Q r\ i s t i N
afforests	@ f Q r\ @ s t s
affranchise	@ f r\ { n tS ai z
affranchised	@ f r\ { n tS ai z d
affranchises	@ f r\ { n tS ai z @ z
affranchising	@ f r\ { n tS ai z i N
affray	@ f r\ @i
affrays	@ f r\ @i z
affront	@ f r\ a n t
affronted	@ f r\ a n t @ d
affronting	@ f r\ a n t i N
affronts	@ f r\ a n t s
afghan	{ f g { n
afghanistan	{ f g { n i s t A: n
afghanistani	{ f g { n i s t A: n i
afghanistanis	{ f g { n i s t A: n @ z
afghans	{ f g { n z
afield	@ f i: l d
afire	@ f ai @ r\
aflame	@ f l @i m
afloat	@ f l @u t
afoot	@ f U t
afore	@ f O: r\
aforesaid	@ f O: s E d
aforethought	@ f O: T O: t
afoul	@ f au l
afraid	@ f r\ @i d
afresh	@ f r\ E S
africa	{ f r\ i k @
african	{ f r\ i k @ n
africans	{ f r\ i k @ n z
afrikaans	{ f r\ i k A: n s
afrikaner	{ f r\ i k A: n @ r\
afrikaners	{ f r\ i k A: n @ z
afro	{ f r\ @u
aft	A: f t
after	A: f t @ r\
aftercare	A: f t @ k e@ r\
afterdamp	A: f t @ d { m p
aftereffect	A: f t @ r\ i f E k t
aftereffects	A: f t @ r\ i f E k t s
afterglow	A: f t @ g l @u
aftermath	A: f t @ m { T
afternoon	A: f t @ n u: n
afternoons	A: f t @ n u: n z
afters	A: f t @ z
afterthought	A: f t @ T O: t
afterthoughts	A: f t @ T O: t s
afterwards	A: f t @ w @ d z
again	@ g E n
against	@ g E n s t
agape	@ g @i p
agate	{ g @ t
agates	{ g @ t s
agatha	{ g @ T @
agave	@ g @i v i
agaves	@ g @i v @ z
age	@i d0Z
aged	@i d0Z @ d
ageing	@i d0Z i N
ageless	@i d0Z l @ s
agencies	@i d0Z @ n s i s
agency	@i d0Z @ n s i
agenda	@ d0Z E n d @
agendas	@ d0Z E n d @ z
agent	@i d0Z @ n t
agents	@i d0Z @ n t s
ages	@i d0Z @ z
aggie	{ g i
agglomerate	@ g l Q m @ r\ @ t
agglomerated	@ g l Q m @ r\ @i t @ d
agglomerates	@ g l Q m @ r\ @i t s
agglomerating	@ g l Q m @ r\ @i t i N
agglomeration	@ g l Q m @ r\ @i S @ n
agglomerations	@ g l Q m @ r\ @i S @ n z
agglutinate	@ g l u: t @ n @i t
agglutinated	@ g l u: t @ n @i t @ d
agglutinates	@ g l u: t @ n @i t s
agglutinating	@ g l u: t @ n @i t i N
agglutinative	@ g l u: t @ n @ t @ v
aggrandize	@ g r\ { n d ai z
aggrandized	@ g r\ { n d ai z d
aggrandizement	@ g r\ { n d @ z m @ n t
aggrandizements	@ g r\ { n d @ z m @ n t s
aggrandizes	@ g r\ { n d ai z @ z
aggrandizing	@ g r\ { n d ai z i N
aggravate	{ g r\ @ v @i t
aggravated	{ g r\ @ v @i t @ d
aggravates	{ g r\ @ v @i t s
aggravating	{ g r\ @ v @i t i N
aggravation	{ g r\ @ v @i S @ n
aggravations	{ g r\ @ v @i S @ n z
aggregate	{ g r\ @ g @ t
aggregated	{ g r\ @ g @i t @ d
aggregates	{ g r\ @ g @ t s
aggregating	{ g r\ @ g @i t i N
aggregation	{ g r\ @ g @i S @ n
aggregations	{ g r\ @ g @i S @ n z
aggression	@ g r\ E S @ n
aggressions	@ g r\ E S @ n z
aggressive	@ g r\ E s @ v
aggressively	@ g r\ E s @ v l i
aggressiveness	@ g r\ E s @ v n @ s
aggressor	@ g r\ E s @ r\
aggressors	@ g r\ E s @ z
aggrieve	@ g r\ i: v
aggrieved	@ g r\ i: v d
aggrieves	@ g r\ i: v z
aggrieving	@ g r\ i: v i N
aggro	{ g r\ @u
aghast	@ g A: s t
agile	{ d0Z ai l
agilely	{ d0Z ai l i
agility	@ d0Z i l i t i
agin	@ g i n
aging	@i d0Z i N
agitate	{ d0Z @ t @i t
agitated	{ d0Z @ t @i t @ d
agitates	{ d0Z @ t @i t s
agitating	{ d0Z @ t @i t i N
agitation	{ d0Z @ t @i S @ n
agitations	{ d0Z @ t @i S @ n z
agitator	{ d0Z @ t @i t @ r\
agitators	{ d0Z @ t @i t @ z
aglow	@ g l @u
agnail	{ g n @i l
agnes	{ g n @ s
agnostic	{ g n Q s t i k
agnosticism	{ g n Q s t @ s @ z @ m
agnostics	{ g n Q s t i k s
ago	@ g @u
agog	@ g Q g
agonies	{ g @ n i z
agonized	{ g @ n ai z d
agonizing	{ g @ n ai z i N
agonizingly	{ g @ n ai z i N l i
agony	{ g @ n i
agora	{ g @ r\ @
agoraphobia	{ g @ r\ @ f @u b i@
agoras	{ g @ r\ @ z
agra	A: g r\ @
agrarian	@ g r\ e@ r\ i@ n
agree	@ g r\ i
agreeable	@ g r\ i: @ b @ l
agreeably	@ g r\ i: @ b l i
agreed	@ g r\ i: d
agreeing	@ g r\ i: i N
agreement	@ g r\ i: m @ n t
agreements	@ g r\ i: m @ n t s
agrees	@ g r\ i: z
agricultural	{ g r\ i k a l tS @ r\ @ l
agriculture	{ g r\ i k a l tS @ r\
aground	@ g r\ au n d
ague	@i g j u:
agues	@i g j u: z
ah	A:
aha	A: h\ A:
ahead	@ h\ E d
ahem	@ h\ @ m
ahmanson	A: m @ n s @ n
ahmed	A: m E d
ahmedabad	A: m E d @ b { d
ahoy	@ h\ Oi
aichi	ai i: tS i
aid	@i d
aide	@i d
aided	@i d @ d
aides	@i d z
aiding	@i d i N
aids	@i d z
aigret	@i g r\ E t
aigrets	@i g r\ E t s
aigrette	@i g r\ E t
aigrettes	@i g r\ E t s
ail	@i l
ailed	@i l d
aileron	@i l @ r\ Q n
ailerons	@i l @ r\ Q n z
ailes	ai l z
ailing	@i l i N
ailment	@i l m @ n t
ailments	@i l m @ n t s
ails	@i l z
aim	@i m
aimed	@i m d
aiming	@i m i N
aimless	@i m l @ s
aimlessly	@i m l @ s l i
aims	@i m z
ain't	@i n t
air	e@ r\
airbed	e@ b E d
airbeds	e@ b E d z
airborne	e@ b O: n
airbrake	e@ b r\ @i k
airbrakes	e@ b r\ @i k s
aircraft	e@ k r\ A: f t
aircraftman	e@ k r\ { f t m @ n
aircraftmen	e@ k r\ { f t m @ n
aircrew	e@ k r\ u:
aircrews	e@ k r\ u: z
airdrie	e@ d r\ i
airdrome	e@ d r\ @u m
airdromes	e@ d r\ @u m z
aireborough	e@ b @ r\ @
aired	e@ d
airedale	e@ d @i l
airedales	e@ d @i l z
aires	@i r\ i: z
airfield	e@ f i: l d
airfields	e@ f i: l d z
airflow	e@ f l @u
airflows	e@ f l @u z
airframe	e@ f r\ @i m
airframes	e@ f r\ @i m z
airily	e@ r\ @ l i
airing	e@ r\ i N
airings	e@ r\ i N z
airless	e@ l @ s
airline	e@ l ai n
airliner	e@ l ai n @ r\
airliners	e@ l ai n @ z
airlines	e@ l ai n z
airmail	e@ m @i l
airman	e@ m @ n
airmen	e@ m @ n
airplane	e@ p l @i n
airplanes	e@ p l @i n z
airport	e@ p O: t
airports	e@ p O: t s
airs	e@ z
airscrew	e@ s k r\ u:
airscrews	e@ s k r\ u: z
airship	e@ S @ p
airships	e@ S @ p s
airstrip	e@ s t r\ @ p
airstrips	e@ s t r\ @ p s
airtight	e@ t ai t
airway	e@ w @i
airways	e@ w @i z
airwoman	e@ w U m @ n
airwomen	e@ w @ m @ n
airworthiness	e@ w 3: D @ n @ s
airworthy	e@ w 3: D i
airy	e@ r\ i
aisle	ai l
aisles	ai l z
aitch	@i tS
aitches	@i tS @ z
ajar	@ d0Z A: r\
ajemian	@ d0Z i m i @ n
akihito	{ k i: h\ i: t @u
akimbo	@ k i m b @u
akin	@ k i n
akron	{ k r\ Q n
al	{ l
alabama	{ l @ b { m @
alabaster	{ l @ b A: s t @ r\
alack	@ l { k
alacrity	@ l { k r\ i t i
alain	{ l { n
alan	{ l @ n
alarm	@ l A: m
alarmed	@ l A: m d
alarming	@ l A: m i N
alarmingly	@ l A: m i N l i
alarmist	@ l A: m @ s t
alarmists	@ l A: m @ s t s
alarms	@ l A: m z
alas	@ l { s
alaska	@ l { s k @
alaskan	@ l { s k @ n
alb	{ l b
albania	{ l b @i n i@
albanian	{ l b @i n i@ n
albanians	{ l b @i n i@ n z
albatross	{ l b @ t r\ Q s
albatrosses	{ l b @ t r\ Q s @ s
albeit	O: l b i: @ t
albert	{ l b @ t
alberta	{ l b 3: t @
alberto	{ l b 3: t @u
albino	{ l b i: n @u
albinos	{ l b i: n @u z
albs	{ l b z
album	{ l b @ m
albumen	{ l b j U m @ n
albums	{ l b @ m z
albuquerque	{ l b @ k 3: k i
alchemist	{ l k @ m @ s t
alchemists	{ l k @ m @ s t s
alchemy	{ l k i m i
alcohol	{ l k @ h\ Q l
alcoholic	{ l k @ h\ Q l i k
alcoholics	{ l k @ h\ Q l i k s
alcoholism	{ l k @ h\ Q l @ z @ m
alcohols	{ l k @ h\ Q l z
alcove	{ l k @u v
alcoves	{ l k @u v z
alder	O: l d @ r\
alderman	O: l d @ m @ n
aldermanic	O: l d @ m { n i k
aldermen	O: l d @ m @ n
alders	O: l d @ z
aldershot	O: l d @ S Q t
ale	@i l
alec	{ l @ k
alee	@ l i
aleppo	@ l E p @u
alert	@ l 3: t
alerted	@ l 3: t @ d
alerting	@ l 3: t i N
alertly	@ l 3: t l i
alertness	@ l 3: t n @ s
alerts	@ l 3: t s
ales	@i l z
alessandria	{ l i s { n d r\ i@
alex	{ l @ k s
alexander	{ l @ g z A: n d @ r\
alexandra	{ l @ g z A: n d r\ @
alexandria	{ l @ g z A: n d r\ i@
alexandrine	{ l @ g z { n d r\ ai n
alexandrines	{ l @ g z { n d r\ ai n z
alexia	@ l E k s i@
alexic	@ l E k s i k
alexics	@ l E k s i k s
alf	{ l f
alfalfa	{ l f { l f @
alfonsin	{ l f Q n s @ n
alfred	{ l f r\ @ d
alfredo	{ l f r\ @i d @u
alfresco	{ l f r\ E s k @u
alfreton	O: l f r\ @ t @ n
alga	{ l g @
algae	{ l d0Z i
algebra	{ l d0Z @ b r\ @
algebraic	{ l d0Z i b r\ @i i k
algebraical	{ l d0Z @ b r\ @i k @ l
algebraically	{ l d0Z @ b r\ @i k l i
algebras	{ l d0Z @ b r\ @ z
alger	{ l d0Z @ r\
algeria	{ l d0Z i@ r\ i@
algerian	{ l d0Z i@ r\ i@ n
algerians	{ l d0Z i@ r\ i@ n z
ali	{ l i
alias	@i l i@ s
aliases	@i l i@ s @ s
alibi	{ l @ b ai
alibis	{ l @ b ai z
alicante	{ l i k { n t i
alice	{ l @ s
alien	@i l i@ n
alienate	@i l i@ n @i t
alienated	@i l i@ n @i t @ d
alienates	@i l i@ n @i t s
alienating	@i l i@ n @i t i N
alienation	@i l i@ n @i S @ n
alienist	@i l i@ n @ s t
alienists	@i l i@ n @ s t s
aliens	@i l i@ n z
alight	@ l ai t
alighted	@ l ai t @ d
alighting	@ l ai t i N
alights	@ l ai t s
align	@ l ai n
aligned	@ l ai n d
aligning	@ l ai n i N
alignment	@ l ai n m @ n t
alignments	@ l ai n m @ n t s
aligns	@ l ai n z
alike	@ l ai k
alimentary	{ l i m E n t @ r\ i
alimony	{ l @ m @ n i
alison	{ l @ s @ n
alive	@ l ai v
alkali	{ l k @ l ai
alkaline	{ l k @ l ai n
alkalis	{ l k @ l ai z
alkaloid	{ l k @ l Oi d
all	O: l
allah	{ l @
allahabad	{ l @ h\ @ b A: d
allan	{ l @ n
allay	@ l @i
allayed	@ l @i d
allaying	@ l @i i N
allays	@ l @i z
allday	O: l d @i
allegation	{ l @ g @i S @ n
allegations	{ l @ g @i S @ n z
allege	@ l E d0Z
alleged	@ l E d0Z d
allegedly	@ l E d0Z @ d l i
alleges	@ l E d0Z @ z
allegiance	@ l i: d0Z @ n s
alleging	@ l E d0Z i N
allegoric	{ l i g Q r\ i k
allegorical	{ l i g Q r\ i k @ l
allegories	{ l @ g @ r\ i z
allegory	{ l @ g @ r\ i
allegretto	{ l i g r\ E t @u
allegrettos	{ l i g r\ E t @u z
allegro	@ l @i g r\ @u
allegros	@ l @i g r\ @u z
alleluia	{ l i l u: j @
allen	{ l @ n
allergen	{ l @ d0Z E n
allergens	{ l @ d0Z E n z
allergic	@ l 3: d0Z i k
allergies	{ l @ d0Z i z
allergy	{ l @ d0Z i
alleviate	@ l i: v i @i t
alleviated	@ l i: v i @i t @ d
alleviates	@ l i: v i @i t s
alleviating	@ l i: v i @i t i N
alleviation	@ l i: v i @i S @ n
alleviations	@ l i: v i @i S @ n z
alley	{ l i
alleys	{ l i z
alleyway	{ l @ w @i
alleyways	{ l @ w @i z
alliance	@ l ai @ n s
alliances	@ l ai @ n s @ s
allianz	@ l ai { n z
allied	@ l ai d
allies	{ l ai z
alligator	{ l i g @i t @ r\
alligators	{ l i g @i t @ z
allis	{ l @ s
allison	{ l i s Q n
alliteration	@ l @ t @ r\ @i S @ n
alliterative	@ l @ t r\ @ t @ v
alliteratively	@ l @ t r\ @ t @ v l i
alloa	{ l @u @
allocate	{ l @ k @i t
allocated	{ l @ k @i t @ d
allocates	{ l @ k @i t s
allocating	{ l @ k @i t i N
allocation	{ l @ k @i S @ n
allocations	{ l @ k @i S @ n z
allot	@ l Q t
allotment	@ l Q t m @ n t
allotments	@ l Q t m @ n t s
allots	@ l Q t s
allotted	@ l Q t @ d
allotting	@ l Q t i N
allow	@ l au
allowable	@ l @u @ b @ l
allowance	@ l au @ n s
allowances	@ l au @ n s @ s
allowed	@ l au d
allowing	@ l au i N
allows	@ l au z
alloy	{ l Oi
alloyed	@ l Oi d
alloying	@ l Oi i N
alloys	{ l Oi z
allspice	O: l s p ai s
allude	@ l u: d
alluded	@ l u: d @ d
alludes	@ l u: d z
alluding	@ l u: d i N
allure	@ l u@ r\
allured	@ l u@ d
allurement	@ l u@ m @ n t
allurements	@ l u@ m @ n t s
allures	@ l u@ z
alluring	@ l u@ r\ i N
allusion	@ l u: Z @ n
allusions	@ l u: Z @ n z
allusive	@ l u: s @ v
alluvial	@ l u: v i@ l
ally	{ l ai
allying	@ l ai i N
almanac	O: l m @ n { k
almanacs	O: l m @ n { k s
almeria	{ l m @ r\ i@
almighty	O: l m ai t i
almond	A: m @ n d
almonds	A: m @ n d z
almoner	A: m @ n @ r\
almoners	A: m @ n @ z
almost	O: l m @u s t
alms	A: m z
alnwick	{ n i k
aloe	{ l @u
aloes	{ l @u z
aloft	@ l Q f t
alone	@ l @u n
along	@ l Q N
alongside	@ l Q N s ai d
aloof	@ l u: f
aloofness	@ l u: f n @ s
aloud	@ l au d
alp	{ l p
alpaca	{ l p { k @
alpacas	{ l p { k @ z
alpenstock	{ l p @ n s t Q k
alpenstocks	{ l p @ n s t Q k s
alpha	{ l f @
alphabet	{ l f @ b E t
alphabetical	{ l f @ b E t i k @ l
alphabetically	{ l f @ b E t i k l i
alphabets	{ l f @ b E t s
alphas	{ l f @ z
alpine	{ l p ai n
alpinist	{ l p @ n @ s t
alpinists	{ l p @ n @ s t s
alps	{ l p s
already	O: l r\ E d i
alright	O: l r\ ai t
alsatian	{ l s @i S @ n
alsatians	{ l s @i S @ n z
also	O: l s @u
altamont	{ l t @ m Q n t
altar	O: l t @ r\
altars	O: l t @ z
alter	O: l t @ r\
alterable	Q l t @ r\ @ b @ l
alteration	O: l t @ r\ @i S @ n
alterations	O: l t @ r\ @i S @ n z
altercation	O: l t @ k @i S @ n
altercations	O: l t @ k @i S @ n z
altered	O: l t @ d
altering	O: l t @ r\ i N
alternate	O: l t 3: n @ t
alternated	O: l t @ n @i t @ d
alternately	O: l t 3: n @ t l i
alternates	O: l t @ n @i t s
alternating	O: l t @ n @i t i N
alternation	O: l t @ n @i S @ n
alternations	O: l t @ n @i S @ n z
alternative	O: l t 3: n @ t @ v
alternatively	O: l t 3: n @ t @ v l i
alternatives	O: l t 3: n @ t @ v z
alters	O: l t @ z
although	O: l D @u
altimeter	{ l t i m i: t @ r\
altimeters	{ l t i m i: t @ z
altitude	{ l t i t j u: d
altitudes	{ l t i t j u: d z
alto	{ l t @u
altogether	O: l t @ g E D @ r\
alton	O: l t @ n
altos	{ l t @u z
altrincham	O: l t r\ i N @ m
altruism	{ l t r\ u: @ z @ m
altruisms	{ l t r\ u: @ z @ m z
altruist	{ l t r\ u: @ s t
altruistic	{ l t r\ u: i s t i k
altruistically	{ l t r\ u: i s t i k l i
altruists	{ l t r\ u: @ s t s
alum	{ l @ m
aluminium	{ l j U m i n i@ m
alumna	@ l a m n @
alumnae	@ l a m n i
alumni	@ l a m n ai
alumnus	@ l a m n @ s
alvarez	{ l v { r\ E z
alvechurch	O: l v tS 3: tS
alveolar	{ l v i@ l @ r\
alveolars	{ l v i@ l @ z
always	O: l w @i z
alzheimer	{ l t z ai m @ r\
alzheimers	{ l t z ai m @ r\ z
amah	A: m @
amahs	A: m @ z
amain	@ m @i n
amalgam	@ m { l g @ m
amalgamate	@ m { l g @ m @i t
amalgamated	@ m { l g @ m @i t @ d
amalgamates	@ m { l g @ m @i t s
amalgamating	@ m { l g @ m @i t i N
amalgamation	@ m { l g @ m @i S @ n
amalgamations	@ m { l g @ m @i S @ n z
amalgams	@ m { l g @ m z
amanda	@ m { n d @
amanuenses	@ m { n j U E n s i: z
amanuensis	@ m { n j U E n s @ s
amaryllis	{ m @ r\ @ l @ s
amaryllises	{ m @ r\ @ l @ s @ s
amass	@ m { s
amassed	@ m { s t
amasses	@ m { s @ s
amassing	@ m { s i N
amateur	{ m @ t @ r\
amateurish	{ m @ t @ r\ i S
amateurism	{ m @ t @ r\ @ z @ m
amateurs	{ m @ t @ z
amatory	{ m @ t @ r\ i
amaze	@ m @i z
amazed	@ m @i z d
amazement	@ m @i z m @ n t
amazes	@ m @i z @ z
amazing	@ m @i z i N
amazingly	@ m @i z i N l i
amazon	{ m @ z @ n
amazons	{ m @ z @ n z
ambassador	{ m b { s @ d @ r\
ambassadorial	{ m b { s @ d O: r\ i@ l
ambassadors	{ m b { s @ d @ z
ambassadress	{ m b { s @ d r\ @ s
ambassadresses	{ m b { s @ d r\ @ s @ s
amber	{ m b @ r\
ambergris	{ m b @ g r\ i: s
ambidextrous	{ m b i d E k s t r\ @ s
ambience	{ m b i@ n s
ambient	{ m b i@ n t
ambiguities	{ m b i g j u: i t i z
ambiguity	{ m b i g j u: i t i
ambiguous	{ m b i g j u@ s
ambiguously	{ m b i g j u@ s l i
ambit	{ m b @ t
ambition	{ m b i S @ n
ambitions	{ m b i S @ n z
ambitious	{ m b i S @ s
ambitiously	{ m b i S @ s l i
ambits	{ m b @ t s
ambivalence	{ m b @ v @ l @ n s
ambivalent	{ m b @ v @ l @ n t
amble	{ m b @ l
ambled	{ m b @ l d
ambles	{ m b @ l z
ambling	{ m b l i N
ambrosia	{ m b r\ @u z i@
ambulance	{ m b j U l @ n s
ambulances	{ m b j U l @ n s @ s
ambuscade	{ m b @ s k @i d
ambuscaded	{ m b @ s k @i d @ d
ambuscades	{ m b @ s k @i d z
ambuscading	{ m b @ s k @i d i N
ambush	{ m b U S
ambushed	{ m b U S t
ambushes	{ m b U S @ z
ambushing	{ m b U S i N
amdahl	{ m d { l
ameba	@ m i: b @
amebas	@ m i: b @ z
ameer	@ m i@ r\
ameers	@ m i@ z
ameliorate	@ m i: l i@ r\ @i t
ameliorated	@ m i: l i@ r\ @i t @ d
ameliorates	@ m i: l i@ r\ @i t s
ameliorating	@ m i: l i@ r\ @i t i N
amelioration	@ m i: l i@ r\ @i S @ n
ameliorations	@ m i: l i@ r\ @i S @ n z
amen	A: m E n
amenable	@ m i: n @ b @ l
amend	@ m E n d
amendable	@ m E n d @ b @ l
amended	@ m E n d @ d
amending	@ m E n d i N
amendment	@ m E n d m @ n t
amendments	@ m E n d m @ n t s
amends	@ m E n d z
amenities	@ m i: n i t i z
amenity	@ m i: n i t i
america	@ m E r\ i k @
american	@ m E r\ i k @ n
americanism	@ m E r\ i k @ n @ z @ m
americanisms	@ m E r\ i k @ n @ z @ m z
americans	@ m E r\ i k @ n z
ames	@i m z
amesbury	@i m z b @ r\ i
amethyst	{ m @ T @ s t
amethysts	{ m @ T @ s t s
amex	{ m E k s
amharic	{ m h\ { r\ i k
amherst	{ m h\ 3: s t
amiability	@i m i@ b i l i t i
amiable	@i m i@ b @ l
amiably	@i m i@ b l i
amicability	{ m i k @ b i l i t i
amicable	{ m i k @ b @ l
amicably	{ m i k @ b l i
amid	@ m @ d
amidships	@ m @ d S @ p s
amidst	@ m @ d s t
amiens	{ m i@ n z
amir	@ m i@ r\
amirs	@ m i@ z
amiss	@ m @ s
amity	{ m i t i
amman	@ m { n
ammanford	{ m @ n f @ d
ammeter	{ m @ t @ r\
ammeters	{ m @ t @ z
ammonia	@ m @u n i@
ammoniated	@ m @u n i @i t @ d
ammonite	{ m @ n ai t
ammonites	{ m @ n ai t s
ammunition	{ m j U n i S @ n
amnesia	{ m n i: z i@
amnesties	{ m n @ s t i z
amnesty	{ m n @ s t i
amoco	{ m @u k @u
amoeba	@ m i: b @
amoebae	@ m i: b i
amoebas	@ m i: b @ z
amoebic	@ m i: b i k
amok	@ m Q k
among	@ m a N
amongst	@ m a N s t
amoral	@i m Q r\ @ l
amorous	{ m @ r\ @ s
amorously	{ m @ r\ @ s l i
amorphous	@ m O: f @ s
amortization	@ m O: t @ z @i S @ n
amortizations	@ m O: t @ z @i S @ n z
amortize	@ m O: t ai z
amortized	@ m O: t ai z d
amortizes	@ m O: t ai z @ z
amortizing	@ m O: t ai z i N
amos	@i m @ s
amount	@ m au n t
amounted	@ m au n t @ d
amounting	@ m au n t i N
amounts	@ m au n t s
amour	@ m u@ r\
amours	@ m u@ z
amp	{ m p
ampere	{ m p e@ r\
amperes	{ m p e@ z
ampersand	{ m p @ s { n d
amphetamine	{ m f E t @ m i: n
amphetamines	{ m f E t @ m i: n z
amphibian	{ m f i b i@ n
amphibians	{ m f i b i@ n z
amphibious	{ m f i b i@ s
amphitheatre	{ m f i T i@ t @ r\
amphitheatres	{ m f i T i@ t @ z
amphora	{ m f @ r\ @
amphorae	{ m f @ r\ i
amphoras	{ m f @ r\ @ z
ample	{ m p @ l
ampler	{ m p l @ r\
amplest	{ m p l @ s t
amplification	{ m p l i f i k @i S @ n
amplifications	{ m p l i f i k @i S @ n z
amplified	{ m p l @ f ai d
amplifier	{ m p l @ f ai @ r\
amplifiers	{ m p l @ f ai @ z
amplifies	{ m p l @ f ai z
amplify	{ m p l @ f ai
amplifying	{ m p l @ f ai i N
amplitude	{ m p l i t j u: d
amply	{ m p l i
ampoule	{ m p u: l
ampoules	{ m p u: l z
amps	{ m p s
amputate	{ m p j U t @i t
amputated	{ m p j U t @i t @ d
amputates	{ m p j U t @i t s
amputating	{ m p j U t @i t i N
amputation	{ m p j U t @i S @ n
amputations	{ m p j U t @i S @ n z
amsterdam	{ m s t @ d { m
amuck	@ m a k
amulet	{ m j U l @ t
amulets	{ m j U l @ t s
amuse	@ m j u: z
amused	@ m j u: z d
amusement	@ m j u: z m @ n t
amusements	@ m j u: z m @ n t s
amuses	@ m j u: z @ z
amusing	@ m j u: z i N
amusingly	@ m j u: z i N l i
amy	@i m i
an	{ n
anachronism	@ n { k r\ @ n @ z @ m
anachronisms	@ n { k r\ @ n @ z @ m z
anachronistic	@ n { k r\ @ n i s t i k
anacomp	{ n @ k Q m p
