can't	k> a n t>
betsaka	b E ts> a k> a
betsega	b E ts> E x a
betsegele	b E ts> E x E l E
betsho	b E tsh O
betshong	b E tsh O N
betsi	b E ts> i
betswa	b E ts> w a
betswe	b E ts> w E
betwa	b E t> w a
betwang	b E t> w a N
bewa	b E w a
bewang	b E w a N
bewe	b E w E
bibiliokerafi	b i b i l i O k> E r a f i
bidio	b i d i O
biditse	b i d i ts> E
biditswe	b i d i ts> w E
biditsweng	b i d i ts> w E N
bidiwa	b i d i w a
bidiwang	b i d i w a N
bifetswe	b i f E ts> w E
bileditsweng	b i l E d i ts> w E N
bilediwa	b i l E d i w a
bileng	b i l E N
biletsa	b i l E ts> a
bilione	b i l i O n E
bina	b i n a
binabina	b i n a b i n a
binwa	b i n w a
bipa	b i p> a
bipiwa	b i p> i w a
bitsa	b i ts> a
bitsakaka	b i ts> a k> a k> a
bitsang	b i ts> a N
bitse	b i ts> E
bitswa	b i ts> w a
bitswang	b i ts> w a N
boagi	b O a x i
boaging	b O a x i N
boagisani	b O a x i s a n i
boagisaning	b O a x i s a n i N
boagisanyi	b O a x i s a J i
boago	b O a x O
boaka	b O a k> a
boakaretsi	b O a k> a r E ts> i
boalo	b O a l O
boalong	b O a l O N
boalothulaganyo	b O a l O th u l a x a J O
boammaaruri	b O a m m a r u r i
boamogelo	b O a m O x E l O
boamogelong	b O a m O x E l O N
boanedi	b O a n E d i
boang	b O a N
boapeelo	b O a p> E E l O
boapeelong	b O a p> E E l O N
boapei	b O a p> E i
boatla	b O a tl> a
boatleng	b O a tl> E N
boatlhamo	b O a tlh a m O
boatlhodi	b O a tlh O d i
boatlhoding	b O a tlh O d i N
bobaba	b O b a b a
boba	b O b a
bobatlisisi	b O b a tl> i s i s i
bobebe	b O b E b E
bobe	b O b E
bobedi	b O b E d i
bobeding	b O b E d i N
bobegadikgang	b O b E x a d i kx a N
bobegakgang	b O b E x a kx a N
bobegakgannye	b O b E x a kx a n J E
bobegi	b O b E x i
bobetli	b O b E tl> i
bobi	b O b i
boboa	b O b O a
boboatsatsi	b O b O a ts> a ts> i
bobodu	b O b O d u
bobogelo	b O b O x E l O
bobogelong	b O b O x E l O N
boboi	b O b O i
boboko	b O b O k> O
bobokong	b O b O k> O N
bobola	b O b O l a
bobolang	b O b O l a N
bobolokelo	b O b O l O k> E l O
bobolokelong	b O b O l O k> E l O N
bobona	b O b O n a
bobone	b O b O n E
bobopi	b O b O p> i
bobotlana	b O b O tl> a n a
bobueledi	b O b u E l E d i
bodiba	b O d i b a
bodidi	b O d i d i
bodila	b O d i l a
bodileng	b O d i l E N
bodilo	b O d i l O
bodilong	b O d i l O N
bodipa	b O d i p> a
bodipolomate	b O d i p> O l O m a t> E
bodiragatsi	b O d i r a x a ts> i
bodiredi	b O d i r E d i
bodiredipuso	b O d i r E d i p> u s O
bodiredipusong	b O d i r E d i p> u s O N
bodirelong	b O d i r E l O N
bodiri	b O d i r i
bodirisi	b O d i r i s i
bodisa	b O d i s a
boditse	b O d i ts> E
boditshabatshaba	b O d i tsh a b a tsh a b a
boditšhabatšhaba	b O d i tSh a b a tSh a b a
boditswe	b O d i ts> w E
boditsweng	b O d i ts> w E N
bodiwa	b O d i w a
bodiwang	b O d i w a N
bodulasetulo	b O d u l a s E t> u l O
bodumedi	b O d u m E d i
bodumeding	b O d u m E d i N
bodutelo	b O d u t> E l O
bodutiso	b O d u t> i s O
bodutu	b O d u t> u
boe	b O E
boela	b O E l a
boelang	b O E l a N
boele	b O E l E
boeleditse	b O E l E d i ts> E
boelediwa	b O E l E d i w a
boelediwang	b O E l E d i w a N
boeleele	b O E l E E l E
boelelang	b O E l E l a N
boeleng	b O E l E N
boeletsa	b O E l E ts> a
boeletse	b O E l E ts> E
boelwa	b O E l w a
boelwe	b O E l w E
boemafofane	b O E m a f O f a n E
boemafofaneng	b O E m a f O f a n E N
boemedi	b O E m E d i
boemelafofane	b O E m E l a f O f a n E
boemelong	b O E m E l O N
boemo	b O E m O
boemong	b O E m O N
boena	b O E n a
boene	b O E n E
boeng	b O E N
boenjenere	b O E n d0Z E n E r E
boenjenereng	b O E n d0Z E n E r E N
boenjeneri	b O E n d0Z E n E r i
boenjeniri	b O E n d0Z E n i r i
boesi	b O E s i
boetapele	b O E t> a p> E l E
boeteledipele	b O E t> E l E d i p> E l E
boeteledipeleng	b O E t> E l E d i p> E l E N
boetse	b O E ts> E
boetsweng	b O E ts> w E N
bofa	b O f a
bofaganeng	b O f a x a n E N
bofaganya	b O f a x a J a
bofang	b O f a N
bofatlhosi	b O f a tlh O s i
bofe	b O f E
bofefo	b O f E f O
bofegile	b O f E x i l E
bofelela	b O f E l E l a
bofelelang	b O f E l E l a N
bofelelo	b O f E l E l O
bofelelwa	b O f E l E l w a
bofelo	b O f E l O
bofelofelo	b O f E l O f E l O
bofelofelong	b O f E l O f E l O N
bofelong	b O f E l O N
boferefere	b O f E r E f E r E
bofetoledi	b O f E t> O l E d i
bofilwe	b O f i l w E
bofitlha	b O f i tlh a
bofiwa	b O f i w a
bofiwang	b O f i w a N
bofofu	b O f O f u
bofologa	b O f O l O x a
bofologileng	b O f O l O x i l E N
bofolola	b O f O l O l a
bofolotse	b O f O l O ts> E
boga	b O x a
bogadi	b O x a d i
bogading	b O x a d i N
bogagapa	b O x a x a p> a
bogaka	b O x a k> a
bogakolodi	b O x a k> O l O d i
bogale	b O x a l E
bogaleng	b O x a l E N
bogammana	b O x a m m a n a
boganana	b O x a n a n a
boganka	b O x a n k> a
bogare	b O x a r E
bogareng	b O x a r E N
bogatlhamelamasisi	b O x a tlh a m E l a m a s i s i
bogato	b O x a t> O
bogatsu	b O x a ts> u
bogaufi	b O x a u f i
bogautshwane	b O x a u tsh w a n E
bogautshwaneng	b O x a u tsh w a n E N
bogela	b O x E l a
bogelang	b O x E l a N
bogelela	b O x E l E l a
bogelwang	b O x E l w a N
bogetse	b O x E ts> E
bogisa	b O x i s a
bogisiwa	b O x i s i w a
bogobe	b O x O b E
bogodi	b O x O d i
bogodimo	b O x O d i m O
bogodimong	b O x O d i m O N
bogodu	b O x O d u
bogodung	b O x O d u N
bogogelo	b O x O x E l O
bogokaganyi	b O x O k> a x a J i
bogola	b O x O l a
bogole	b O x O l E
bogolobogolo	b O x O l O b O x O l O
bogolo	b O x O l O
bogologolo	b O x O l O x O l O
bogologolong	b O x O l O x O l O N
bogologolotala	b O x O l O x O l O t> a l a
bogolong	b O x O l O N
bogolosegolo	b O x O l O s E x O l O
bogolothata	b O x O l O th a t> a
bogolwane	b O x O l w a n E
bogone	b O x O n E
bogonego	b O x O n E x O
bogoregelong	b O x O r E x E l O N
bogorogelo	b O x O r O x E l O
bogorogelong	b O x O r O x E l O N
bogosi	b O x O s i
bogotlhe	b O x O tlh E
bogotlheng	b O x O tlh E N
bogotswana	b O x O ts> w a n a
bogwata	b O x w a t> a
bogwebi	b O x w E b i
bohibidu	b O h i b i d u
bohuma	b O h u m a
bohumi	b O h u m i
bohutsana	b O h u ts> a n a
boi	b O i
boidiidi	b O i d i i d i
boifa	b O i f a
boifang	b O i f a N
boife	b O i f E
boifisa	b O i f i s a
boifisang	b O i f i s a N
boifisitse	b O i f i s i ts> E
boijane	b O i d0Z a n E
boikaego	b O i k> a E x O
boikaelelo	b O i k> a E l E l O
boikakanyetsi	b O i k> a k> a J E ts> i
boikano	b O i k> a n O
boikanyegi	b O i k> a J E x i
boikanyego	b O i k> a J E x O
boikanyo	b O i k> a J O
boikarabelo	b O i k> a r a b E l O
boikarabelong	b O i k> a r a b E l O N
boikemedi	b O i k> E m E d i
boikemelanosi	b O i k> E m E l a n O s i
boikemelo	b O i k> E m E l O
boiketlo	b O i k> E tl> O
boikgantsho	b O i kx a n tsh O
boikgapo	b O i kx a p> O
boikgethelo	b O i kx E th E l O
boikgethelong	b O i kx E th E l O N
boikgogomoso	b O i kx O x O m O s O
boikgopolo	b O i kx O p> O l O
boikhutso	b O i kh u ts> O
boikhutsong	b O i kh u ts> O N
boikitsiso	b O i k> i ts> i s O
boikobo	b O i k> O b O
boikokobetso	b O i k> O k> O b E ts> O
boikuelo	b O i k> u E l O
boikuelong	b O i k> u E l O N
boikwadiso	b O i k> w a d i s O
boikwadisong	b O i k> w a d i s O N
boile	b O i l E
boima	b O i m a
boimana	b O i m a n a
boimanosi	b O i m a n O s i
boimanyana	b O i m a J a n a
boineelo	b O i n E E l O
boineelong	b O i n E E l O N
boingotlo	b O i N O tl> O
boipelo	b O i p> E l O
boiphediso	b O i ph E d i s O
boiphemelo	b O i ph E m E l O
boipiletso	b O i p> i l E ts> O
boipobolo	b O i p> O b O l O
boipolelo	b O i p> O l E l O
boipuso	b O i p> u s O
boitaolo	b O i t> a O l O
boitapoloso	b O i t> a p> O l O s O
boitebo	b O i t> E b O
boitekanelo	b O i t> E k> a n E l O
boitekanelong	b O i t> E k> a n E l O N
boiteko	b O i t> E k> O
boitemogelo	b O i t> E m O x E l O
boithabiso	b O i th a b i s O
boithaopi	b O i th a O p> i
boithaopo	b O i th a O p> O
boitharabologelo	b O i th a r a b O l O x E l O
boithatelo	b O i th a t> E l O
boithusetso	b O i th u s E ts> O
boithutelo	b O i th u t> E l O
boithutelotiro	b O i th u t> E l O t> i r O
boithuti	b O i th u t> i
boithwalo	b O i th w a l O
boitirelo	b O i t> i r E l O
boitiriso	b O i t> i r i s O
boitiso	b O i t> i s O
boitlamo	b O i tl> a m O
boitlamong	b O i tl> a m O N
boitlhamedi	b O i tlh a m E d i
boitlhamelo	b O i tlh a m E l O
boitlhobogong	b O i tlh O b O x O N
boitlhomo	b O i tlh O m O
boitlhophelo	b O i tlh O ph E l O
boitlhophelong	b O i tlh O ph E l O N
boitlosobodutu	b O i tl> O s O b O d u t> u
boitseanape	b O i ts> E a n a p> E
boitshega	b O i tsh E x a
boitshegang	b O i tsh E x a N
boitshepi	b O i tsh E p> i
boitshepo	b O i tsh E p> O
boitshimololedi	b O i tsh i m O l O l E d i
boitshoko	b O i tsh O k> O
boitsholo	b O i tsh O l O
boitsholong	b O i tsh O l O N
boitshupo	b O i tsh u p> O
boitshwarelano	b O i tsh w a r E l a n O
boitshwarelo	b O i tsh w a r E l O
boitshwaro	b O i tsh w a r O
boitshwarong	b O i tsh w a r O N
boitumediso	b O i t> u m E d i s O
boitumelo	b O i t> u m E l O
bojala	b O d0Z a l a
bojalwa	b O d0Z a l w a
bojalweng	b O d0Z a l w E N
bojang	b O d0Z a N
bojannye	b O d0Z a n J E
bojelanala	b O d0Z E l a n a l a
bojelo	b O d0Z E l O
bojosi	b O d0Z O s i
bojotlhe	b O d0Z O tlh E
boka	b O k> a
bokae	b O k> a E
bokaedibogolo	b O k> a E d i b O x O l O
bokaedi	b O k> a E d i
bokaeding	b O k> a E d i N
bokaelo	b O k> a E l O
bokaelong	b O k> a E l O N
bokafantle	b O k> a f a n tl> E
bokalo	b O k> a l O
bokamoso	b O k> a m O s O
bokamosong	b O k> a m O s O N
bokana	b O k> a n a
bokanakana	b O k> a n a k> a n a
bokanakang	b O k> a n a k> a N
bokao	b O k> a O
bokaobontsi	b O k> a O b O n ts> i
bokaong	b O k> a O N
bokapi	b O k> a p> i
bokau	b O k> a u
bokebekwa	b O k> E b E k> w a
boke	b O k> E
bokeresete	b O k> E r E s E t> E
bokete	b O k> E t> E
bokgabale	b O kx a b a l E
bokgaitsadiake	b O kx a i ts> a d i a k> E
bokgaitsadi	b O kx a i ts> a d i
bokgakala	b O kx a k> a l a
bokgakga	b O kx a kx a
bokgarebe	b O kx a r E b E
bokgeleke	b O kx E l E k> E
bokgoba	b O kx O b a
bokgobeng	b O kx O b E N
bokgola	b O kx O l a
bokgoni	b O kx O n i
bokgoning	b O kx O n i N
bokgono	b O kx O n O
bokgope	b O kx O p> E
bokgopo	b O kx O p> O
bokhuduthamaga	b O kh u d u th a m a x a
bokhukhu	b O kh u kh u
bokhukhuntshwane	b O kh u kh u n tsh w a n E
bokhutlhong	b O kh u tlh O N
bokhutlo	b O kh u tl> O
bokhutlong	b O kh u tl> O N
bokhutshwane	b O kh u tsh w a n E
bokibo	b O k> i b O
bokidi	b O k> i d i
bokile	b O k> i l E
bokima	b O k> i m a
bokoa	b O k> O a
bokobodikhutshwane	b O k> O b O d i kh u tsh w a n E
bokolela	b O k> O l E l a
bokoloniale	b O k> O l O n i a l E
bokomisinara	b O k> O m i s i n a r a
bokone	b O k> O n E
bokopanelo	b O k> O p> a n E l O
bokoso	b O k> O s O
bokosong	b O k> O s O N
bokotsi	b O k> O ts> i
bokwadi	b O k> w a d i
bokwading	b O k> w a d i N
bokwadisetso	b O k> w a d i s E ts> O
bokwadisetsong	b O k> w a d i s E ts> O N
bokwaledi	b O k> w a l E d i
bokwaleding	b O k> w a l E d i N
bola	b O l a
bolabotlhano	b O l a b O tlh a n O
boladu	b O l a d u
bolaela	b O l a E l a
bolaetswe	b O l a E ts> w E
bolaile	b O l a i l E
bolaileng	b O l a i l E N
bolailwe	b O l a i l w E
bolailweng	b O l a i l w E N
bolaisa	b O l a i s a
bolaiwa	b O l a i w a
bolaiwe	b O l a i w E
bolamatlhatso	b O l a m a tlh a ts> O
bolang	b O l a N
bolao	b O l a O
bolaodi	b O l a O d i
bolaoding	b O l a O d i N
bolaong	b O l a O N
bolawa	b O l a w a
bolawang	b O l a w a N
bolawe	b O l a w E
bolaya	b O l a j a
bolayang	b O l a j a N
bolaye	b O l a j E
bolebeledi	b O l E b E l E d i
bolebelo	b O l E b E l O
boleele	b O l E E l E
boleeleng	b O l E E l E N
bolekane	b O l E k> a n E
bolekanyetsi	b O l E k> a J E ts> i
bolekanyetsing	b O l E k> a J E ts> i N
bolekanyo	b O l E k> a J O
bolela	b O l E l a
bolelane	b O l E l a n E
bolelang	b O l E l a N
bolele	b O l E l E
bolelela	b O l E l E l a
bolelelang	b O l E l E l a N
bolelele	b O l E l E l E
bolelelwa	b O l E l E l w a
bolelelwang	b O l E l E l w a N
boleletse	b O l E l E ts> E
boleletswe	b O l E l E ts> w E
boleletsweng	b O l E l E ts> w E N
bolelo	b O l E l O
bolelong	b O l E l O N
bolelwa	b O l E l w a
bolelwang	b O l E l w a N
bolelwe	b O l E l w E
bolemirui	b O l E m i r u i
bolemiruing	b O l E m i r u i N
bolemisi	b O l E m i s i
boleng	b O l E N
bolennye	b O l E n J E
boleo	b O l E O
bolesome	b O l E s O m E
bolesomepedi	b O l E s O m E p> E d i
bolesometharo	b O l E s O m E th a r O
boleta	b O l E t> a
boletaleta	b O l E t> a l E t> a
boletsa	b O l E ts> a
boletse	b O l E ts> E
boletswe	b O l E ts> w E
boletsweng	b O l E ts> w E N
bolo	b O l O
boloditseng	b O l O d i ts> E N
boloditswe	b O l O d i ts> w E
bolodiwa	b O l O d i w a
bologamaano	b O l O x a m a n O
boloi	b O l O i
boloka	b O l O k> a
bolokang	b O l O k> a N
boloke	b O l O k> E
bolokega	b O l O k> E x a
bolokege	b O l O k> E x E
bolokegile	b O l O k> E x i l E
bolokegileng	b O l O k> E x i l E N
bolokela	b O l O k> E l a
bolokelang	b O l O k> E l a N
bolokelwa	b O l O k> E l w a
bolokelwang	b O l O k> E l w a N
bolokeng	b O l O k> E N
bolokesega	b O l O k> E s E x a
bolokesegang	b O l O k> E s E x a N
bolokesege	b O l O k> E s E x E
bolokesegile	b O l O k> E s E x i l E
bolokesegileng	b O l O k> E s E x i l E N
bolokile	b O l O k> i l E
bolokileng	b O l O k> i l E N
bolokilwe	b O l O k> i l w E
bolokilweng	b O l O k> i l w E N
bolokiwa	b O l O k> i w a
bolokiwang	b O l O k> i w a N
bolokiwe	b O l O k> i w E
boloko	b O l O k> O
bolokologi	b O l O k> O l O x i
bolokong	b O l O k> O N
bolokwa	b O l O k> w a
bolokwang	b O l O k> w a N
bolokwe	b O l O k> w E
bolola	b O l O l a
bolona	b O l O n a
bolong	b O l O N
bolosika	b O l O s i k> a
bolotloa	b O l O tl> O a
boloto	b O l O t> O
bolotsa	b O l O ts> a
bolotsana	b O l O ts> a n a
bolumu	b O l u m u
bolwetse	b O l w E ts> E
bolwetseng	b O l w E ts> E N
bomabina	b O m a b i n a
bomadimabe	b O m a d i m a b E
bomagiseterata	b O m a x i s E t> E r a t> a
bomaitseanape	b O m a i ts> E a n a p> E
bomaitsegotlhe	b O m a i ts> E x O tlh E
bomalome	b O m a l O m E
bomang	b O m a N
bomankge	b O m a n kx E
bomasenyeletsa	b O m a s E J E l E ts> a
bomasisi	b O m a s i s i
bomaswe	b O m a s w E
bomatla	b O m a tl> a
bomatlhogole	b O m a tlh O x O l E
bomenemene	b O m E n E m E n E
bomma	b O m m a
bommaditsela	b O m m a d i ts> E l a
bommampodi	b O m m a m p> O d i
bommasepala	b O m m a s E p> a l a
bommatsale	b O m m a ts> a l E
bomme	b O m m E
bommemogolo	b O m m E m O x O l O
bommogo	b O m m O x O
bomo	b O m O
bomogoloo	b O m O x O l O O
bomolaotheo	b O m O l a O th E O
bomolemo	b O m O l E m O
bomorafe	b O m O r a f E
bomorwadie	b O m O r w a d i E
bomorwae	b O m O r w a E
bomosola	b O m O s O l a
bomoto	b O m O t> O
bona	b O n a
bonagala	b O n a x a l a
bonagalang	b O n a x a l a N
bonagaleng	b O n a x a l E N
bonagetse	b O n a x E ts> E
bonako	b O n a k> O
bonakonako	b O n a k> O n a k> O
bonakonyana	b O n a k> O J a n a
bonala	b O n a l a
bonalang	b O n a l a N
bonalatsa	b O n a l a ts> a
bonale	b O n a l E
bonaleng	b O n a l E N
bonana	b O n a n a
bonaneng	b O n a n E N
bonang	b O n a N
bonatla	b O n a tl> a
bonela	b O n E l a
bonelang	b O n E l a N
bonelapele	b O n E l a p> E l E
bonelwa	b O n E l w a
bonelwang	b O n E l w a N
bonelweng	b O n E l w E N
boneng	b O n E N
bonesa	b O n E s a
bonesang	b O n E s a N
bonesitse	b O n E s i ts> E
bonesitsweng	b O n E s i ts> w E N
bonetetshi	b O n E t> E tsh i
bonetetshing	b O n E t> E tsh i N
bonetse	b O n E ts> E
bonetsweng	b O n E ts> w E N
bongaka	b O N a k> a
bongapa	b O N a p> a
bong	b O N
bongola	b O N O l a
bongwana	b O N w a n a
bongwang	b O N w a N
bongwe	b O N w E
bongweng	b O N w E N
bonkgonne	b O n kx O n n E
bonkoko	b O n k> O k> O
bonna	b O n n a
bonnete	b O n n E t> E
bonneteng	b O n n E t> E N
bonngwe	b O n N w E
bonni	b O n n i
bonno	b O n n O
bonnong	b O n n O N
bonnyane	b O n J a n E
bonnyaneng	b O n J a n E N
bonnye	b O n J E
bonnyeng	b O n J E N
bonokwane	b O n O k> w a n E
bonolo	b O n O l O
bonolonyana	b O n O l O J a n a
bonontlhotlho	b O n O n tlh O tlh O
bonosi	b O n O s i
bonosing	b O n O s i N
bonota	b O n O t> a
bontate	b O n t> a t> E
bontle	b O n tl> E
bontlhabongwe	b O n tlh a b O N w E
bontlha	b O n tlh a
bontlhanngwe	b O n tlh a n N w E
bontlhopheng	b O n tlh O ph E N
bonto	b O n t> O
bontsha	b O n tsh a
bontshana	b O n tsh a n a
bontshang	b O n tsh a N
bontshe	b O n tsh E
bontsheng	b O n tsh E N
bontshitse	b O n tsh i ts> E
bontshitseng	b O n tsh i ts> E N
bontshitswe	b O n tsh i ts> w E
bontshitsweng	b O n tsh i ts> w E N
bontshiwa	b O n tsh i w a
bontshiwang	b O n tsh i w a N
bontshiwe	b O n tsh i w E
bontsho	b O n tsh O
bontshong	b O n tsh O N
bontshwa	b O n tsh w a
bontshwe	b O n tsh w E
bontsi	b O n ts> i
bontsing	b O n ts> i N
bontsintsi	b O n ts> i n ts> i
bonwa	b O n w a
bonwang	b O n w a N
bonwe	b O n w E
bonweenwee	b O n w E E n w E E
bonweng	b O n w E N
bonya	b O J a
bonyabonya	b O J a b O J a
bonyana	b O J a n a
bonyane	b O J a n E
bonyaneng	b O J a n E N
bonyatsi	b O J a ts> i
bonye	b O J E
boobedi	b O O b E d i
bookamedi	b O O k> a m E d i
booki	b O O k> i
boona	b O O n a
boopa	b O O p> a
bopa	b O p> a
bopagana	b O p> a x a n a
bopaki	b O p> a k> i
bopaking	b O p> a k> i N
bopalamelo	b O p> a l a m E l O
bopama	b O p> a m a
bopame	b O p> a m E
bopang	b O p> a N
bopape	b O p> a p> E
bope	b O p> E
bopega	b O p> E x a
bopegile	b O p> E x i l E
bopegileng	b O p> E x i l E N
bopela	b O p> E l a
bopele	b O p> E l E
bopelo	b O p> E l O
bopelokgale	b O p> E l O kx a l E
bopelonomi	b O p> E l O n O m i
bopelotelele	b O p> E l O t> E l E l E
bopelotlhomogi	b O p> E l O tlh O m O x i
bopelotshetlha	b O p> E l O tsh E tlh a
bopeng	b O p> E N
bophara	b O ph a r a
bophareng	b O ph a r E N
bophasalatsi	b O ph a s a l a ts> i
bophelo	b O ph E l O
bophelong	b O ph E l O N
bophepa	b O ph E p> a
bophiri	b O ph i r i
bophirima	b O ph i r i m a
bophologolo	b O ph O l O x O l O
bopi	b O p> i
bopile	b O p> i l E
bopileng	b O p> i l E N
bopilwe	b O p> i l w E
bopilweng	b O p> i l w E N
bopiwa	b O p> i w a
bopiwang	b O p> i w a N
bopiwe	b O p> i w E
bopiweng	b O p> i w E N
bopodi	b O p> O d i
bopodisi	b O p> O d i s i
boporofesa	b O p> O r O f E s a
bora	b O r a
boradikonteraka	b O r a d i k> O n t> E r a k> a
boradipolitiki	b O r a d i p> O l i t> i k> i
boradipolotiki	b O r a d i p> O l O t> i k> i
boradithuto	b O r a d i th u t> O
borai	b O r a i
borakanelo	b O r a k> a n E l O
borakanelong	b O r a k> a n E l O N
borakgwebo	b O r a kx w E b O
borakhemisi	b O r a kh E m i s i
boramatlotlo	b O r a m a tl> O tl> O
boramolao	b O r a m O l a O
boramotse	b O r a m O ts> E
boranti	b O r a n t> i
borapedi	b O r a p> E d i
boraro	b O r a r O
borarong	b O r a r O N
borasaense	b O r a s a E n s E
borataro	b O r a t> a r O
boratoropo	b O r a t> O r O p> O
boratšhe	b O r a tSh E
boreelelong	b O r E E l E l O N
boreile	b O r E i l E
borekhu	b O r E kh u
borekisetso	b O r E k> i s E ts> O
borepurepu	b O r E p> u r E p> u
borethe	b O r E th E
boripana	b O r i p> a n a
borithane	b O r i th a n E
borobalo	b O r O b a l O
borobedi	b O r O b E d i
borobong	b O r O b O N
borobongwe	b O r O b O N w E
boro	b O r O
borogo	b O r O x O
borogong	b O r O x O N
borokgwe	b O r O kx w E
boroko	b O r O k> O
borokwa	b O r O k> w a
boromiwa	b O r O m i w a
boromiwang	b O r O m i w a N
borona	b O r O n a
borongwa	b O r O N w a
borongweng	b O r O N w E N
boronse	b O r O n s E
borotho	b O r O th O
borraabo	b O r r a b O
borraago	b O r r a x O
borrabona	b O r r a b O n a
borra	b O r r a
borraetshomogolo	b O r r a E tsh O m O x O l O
borrakgwebo	b O r r a kx w E b O
borre	b O r r E
borremogolo	b O r r E m O x O l O
borukhu	b O r u kh u
borukhutlhi	b O r u kh u tlh i
borukutlhi	b O r u k> u tlh i
borukutlhing	b O r u k> u tlh i N
borulaganyi	b O r u l a x a J i
boruma	b O r u m a
boruni	b O r u n i
boruning	b O r u n i N
borurugo	b O r u r u x O
borutabana	b O r u t> a b a n a
borutapuo	b O r u t> a p> u O
borutegi	b O r u t> E x i
boruteging	b O r u t> E x i N
borutelo	b O r u t> E l O
borwa	b O r w a
borweng	b O r w E N
bosa	b O s a
boša	b O S a
bosadi	b O s a d i
bosading	b O s a d i N
bosaitekanele	b O s a i t> E k> a n E l E
bosakhutleng	b O s a kh u tl> E N
boseeng	b O s E E N
bosekaseki	b O s E k> a s E k> i
bosekisi	b O s E k> i s i
bosele	b O s E l E
bosemolao	b O s E m O l a O
bosena	b O s E n a
bosengbofitlha	b O s E N b O f i tlh a
boseng	b O s E N
bošeng	b O S E N
bosenyi	b O s E J i
bosenying	b O s E J i N
bosesane	b O s E s a n E
bosetlabošweng	b O s E tl> a b O S w E N
bosetlha	b O s E tlh a
bosetlhogo	b O s E tlh O x O
bosetshaba	b O s E tsh a b a
bosetšhaba	b O s E tSh a b a
bosetšhabatšhaba	b O s E tSh a b a tSh a b a
bosetšhabeng	b O s E tSh a b E N
bosiami	b O s i a m i
bosiamisi	b O s i a m i s i
bosiamising	b O s i a m i s i N
bosi	b O s i
bosigo	b O s i x O
bosigogare	b O s i x O x a r E
bosigong	b O s i x O N
bosilo	b O s i l O
bosimane	b O s i m a n E
bosimaneng	b O s i m a n E N
bosisi	b O s i s i
bosole	b O s O l E
bosomenne	b O s O m E n n E
bosomenngwe	b O s O m E n N w E
bosomepedi	b O s O m E p> E d i
bosometlhano	b O s O m E tlh a n O
bosona	b O s O n a
bosone	b O s O n E
bosula	b O s u l a
bosupa	b O s u p> a
bosupi	b O s u p> i
bosusu	b O s u s u
bosutlha	b O s u tlh a
boswa	b O s w a
bošwa	b O S w a
bosweng	b O s w E N
bošweng	b O S w E N
bosweu	b O s w E u
botabutabu	b O t> a b u t> a b u
botagwa	b O t> a x w a
botagweng	b O t> a x w E N
